Files,Clone method,Claude Opus 4.6,Deepseek v3.2,GPT-5.2,Gemini 3 Pro
helper.java,getDrawingView,1,1,1,1
drawapplet,init,1,1,1,1
FigureAttributeConstant,addConstant,1,1,1,1
drawapplet,createAttributeConstant,1,1,1,1
nothingapplet,createTools,1,1,1,1
CompositeFigureCreationTool,mouseDown,1,1,1,1
ChopDiamondConnector,chop,1,1,1,1
MiniMapDesktop,createLeftComponent,1,1,1,1
Animator,run,1,0,1,1
CTXWindowMenu,buildChildMenus,1,1,0,1
ColorMap,colorIndex,1,1,1,1
BouncingDrawing,animationStep,1,1,1,1
PertDependency,handleConnect,1,1,1,1
AutoscrollHelper,getAutoscrollInsets,1,1,1,1
Geom ,direction,0,1,1,1
JHDDropTargetListener,dragOver,1,1,1,1
StandardLayouter,layout,1,0,1,1
LineConnection,basicMoveBy,1,0,1,1
Triangle Figure,rotate,0,0,1,1
SplitPaneDesktop,removeFromDesktop,1,1,1,1
DNDHelper,createDragGestureRecognizer,0,0,1,0
DragNDropTool,setCursor,0,1,1,1
JHDDragSourceListener,dragEnter,0,0,1,1
ColorContentProducer,read,0,0,1,1
CustomToolBar,activateTools,0,0,1,1
FloatingTextArea,endOverlay,1,1,1,1
MiniMapView,paint,1,0,1,1
PolygonFigure,basicDisplayBox,1,0,1,1
SimpleLayouter,calculateLayout,1,1,1,1
DragTracker,mouseDrag,1,0,1,1
JPanelDesktop,createContents,1,1,1,1
MDI_DrawApplication,newView,1,1,1,1
PolygonTool,deactivate,0,0,1,1
SVGStorageFormat,store,1,0,1,1
TriangleRotationHandle,getOrigin,1,1,1,1
ElbowHandle,invokeStep,1,1,1,1
ScribbleTool,point,1,1,1,1
URLTool,beginEdit,1,1,1,1
NodeFigure,drawBorder,1,1,1,1
PertFigure,drawBorder,1,1,1,1
BufferedUpdateStrategy,draw,0,1,1,1
ChangeConnectionHandle,findConnectableFigure,1,1,1,1
FigureAndEnumerator,nextFigure,1,1,1,1
HandleAndEnumerator,nextHandle,1,1,1,1
LocatorConnector,displayBox,1,1,1,1
LocatorHandle,getCursor,1,1,1,1
StandardFigureSelection,getData,1,1,0,1
ToggleGridCommand,execute,1,1,1,1
CommandMenu,actionPerformed,1,1,1,1
PaletteLayout,layoutContainer,1,1,1,1
SerializationStorageFormat,restore,1,1,1,1
StandardVersionControlStrategy,assertCompatibleVersion,1,1,1,1
RoundRectangleGeometricAdapter,getShape,1,1,1,1
ScalingGraphics,scaledShape,0,0,1,0
ZoomDrawingView,setScale,1,1,1,0
CTXCommandMenu,checkEnabled,1,1,1,1
MySelectionTool,mouseDown,0,1,1,1
PatternPainter,drawPattern,0,1,1,1
SelectAreaTracker,drawXORRect,1,1,1,1
Bounds,intersectsBounds,1,0,1,1
drawapplet,setupAttributes,0,1,1,1
drawapplication,promptOpen,0,0,1,1
DNDHelper,createDropTarget,1,1,1,1
DragNDropTool,mouseUp,1,1,1,1
HTMLTextAreaFigure,draw,0,1,0,1
JHDDragSourceListener,dragDropEnd,1,0,1,1
JHDDropTargetListener,supportDropTargetDragEvent,1,1,1,1
AttributeFigureContentProducer,getContent,1,0,1,1
ColorContentProducer,getContent,1,0,1,1
ContentProducerRegistry,getSuperClassContentProducer,1,1,1,1
DisposableResourceManagerFactory,initManager,1,1,1,1
FigureDataContentProducer,getContent,1,1,1,1
HTMLContentProducer,getHTMLFontSizeEquivalent,1,1,1,1
ResourceContentProducer,getContent,1,0,0,1
URLContentProducer,getContent,1,0,0,1
AreaTracker,drawXORRect,1,1,1,1
DoubleBufferImage,getGraphics,1,1,1,1
MiniMapZoomableView,getInverseSubjectTransform,1,0,1,1
ScalingGraphics,clipRect,1,1,1,1
ZoomDrawingView,zoom,1,0,0,1
ZoomDrawingView,centralize,1,1,1,1
AutoscrollHelper,autoscroll,1,1,1,1
CTXCommandMenu,actionPerformed,1,0,0,1
CustomSelectionTool,mouseDown,1,1,1,1
FloatingTextArea,setBounds,1,1,1,1
MiniMapView,getViewRectangle,1,1,1,1
NestedCreationTool,mouseDown,0,1,1,1
StandardLayouter,calculateLayout,1,1,1,1
WindowMenu,buildChildMenus,1,1,1,1
PolygonTool,addPoint,1,1,1,1
AbstractLineDecoration,read,1,0,1,1
BorderTool,mouseDown,1,0,1,1
PolygonFigure,handles,1,0,1,1
DesktopEventService,getDrawingViews,1,1,1,1
ZoomCommand,zoomView,0,1,1,1
ZoomTool,mouseDown,1,0,1,0
TextAreaFigure,setFont,0,0,0,1
TextAreaTool,mouseUp,0,0,0,1
ImageFigure,imageUpdate,1,0,1,1
PolyLineFigure,displayBox,1,1,0,1
